Pressure Velocity0 Velocity1 Velocity2 Viscosity0 Viscosity1 Viscosity2 Viscosity3 Viscosity4 Viscosity5 Viscosity6 Viscosity7 Viscosity8 SolidConcentration cylinderSolidConcentration Time VelocitySource0 VelocitySource1 VelocitySource2 VelocityAbsorption0 VelocityAbsorption1 VelocityAbsorption2 VelocityInterpolationErrorBound0 VelocityInterpolationErrorBound1 VelocityInterpolationErrorBound2 SolidForce0 SolidForce1 SolidForce2 SolidVelocity0 SolidVelocity1 SolidVelocity2 FSIFluidVelocity0 FSIFluidVelocity1 FSIFluidVelocity2 cylinderSolidForce0 cylinderSolidForce1 cylinderSolidForce2 cylinderSolidVelocity0 cylinderSolidVelocity1 cylinderSolidVelocity2 vtkValidPointMask arc_length Points0 Points1 Points2
6.93478e-02 2.98742e-01 -1.78253e-04 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -4.19850e-06 -4.19850e-06 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -8.39700e-03 -8.39700e-03 0.00000e+00 1.00000e-02 1.00000e-02 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.98742e-01 -1.78255e-04 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1 0.00000e+00 1.00000e-02 2.00000e-01 0.00000e+00
6.92777e-02 2.98594e-01 -2.17112e-04 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -4.19851e-06 -4.19851e-06 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -8.39701e-03 -8.39701e-03 0.00000e+00 1.00000e-02 1.00000e-02 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.98594e-01 -2.17114e-04 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1 2.18000e-03 1.21800e-02 2.00000e-01 0.00000e+00
6.92075e-02 2.98446e-01 -2.55971e-04 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -4.19851e-06 -4.19851e-06 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -8.39702e-03 -8.39702e-03 0.00000e+00 1.00000e-02 1.00000e-02 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.98446e-01 -2.55974e-04 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1 4.36000e-03 1.43600e-02 2.00000e-01 0.00000e+00
6.91374e-02 2.98298e-01 -2.94830e-04 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -4.19852e-06 -4.19852e-06 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -8.39704e-03 -8.39704e-03 0.00000e+00 1.00000e-02 1.00000e-02 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.98298e-01 -2.94833e-04 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1 6.54000e-03 1.65400e-02 2.00000e-01 0.00000e+00
6.90673e-02 2.98150e-01 -3.33689e-04 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -4.19852e-06 -4.19852e-06 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -8.39705e-03 -8.39705e-03 0.00000e+00 1.00000e-02 1.00000e-02 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.98150e-01 -3.33692e-04 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1 8.72000e-03 1.87200e-02 2.00000e-01 0.00000e+00
6.89971e-02 2.98002e-01 -3.72548e-04 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -4.19853e-06 -4.19853e-06 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -8.39706e-03 -8.39706e-03 0.00000e+00 1.00000e-02 1.00000e-02 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.98002e-01 -3.72552e-04 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1 1.09000e-02 2.09000e-02 2.00000e-01 0.00000e+00
6.89730e-02 2.97692e-01 -7.94831e-05 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -4.19831e-06 -4.19831e-06 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -8.39661e-03 -8.39661e-03 0.00000e+00 1.00000e-02 1.00000e-02 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.97692e-01 -7.94885e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1 1.30800e-02 2.30800e-02 2.00000e-01 0.00000e+00
6.91107e-02 2.96853e-01 6.42602e-06 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -4.19912e-06 -4.19912e-06 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -8.39825e-03 -8.39825e-03 0.00000e+00 1.00000e-02 1.00000e-02 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.96853e-01 6.42194e-06 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1 1.52600e-02 2.52600e-02 2.00000e-01 0.00000e+00
6.92413e-02 2.95969e-01 -1.66240e-05 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -4.19992e-06 -4.19992e-06 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -8.39985e-03 -8.39985e-03 0.00000e+00 1.00000e-02 1.00000e-02 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.95969e-01 -1.66270e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1 1.74400e-02 2.74400e-02 2.00000e-01 0.00000e+00
6.93720e-02 2.95086e-01 -3.96740e-05 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -4.20073e-06 -4.20073e-06 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -8.40145e-03 -8.40145e-03 0.00000e+00 1.00000e-02 1.00000e-02 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.95086e-01 -3.96760e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1 1.96200e-02 2.96200e-02 2.00000e-01 0.00000e+00
