Pressure Velocity0 Velocity1 Velocity2 Viscosity0 Viscosity1 Viscosity2 Viscosity3 Viscosity4 Viscosity5 Viscosity6 Viscosity7 Viscosity8 SolidConcentration cylinderSolidConcentration Time VelocitySource0 VelocitySource1 VelocitySource2 VelocityAbsorption0 VelocityAbsorption1 VelocityAbsorption2 VelocityInterpolationErrorBound0 VelocityInterpolationErrorBound1 VelocityInterpolationErrorBound2 SolidForce0 SolidForce1 SolidForce2 SolidVelocity0 SolidVelocity1 SolidVelocity2 FSIFluidVelocity0 FSIFluidVelocity1 FSIFluidVelocity2 cylinderSolidForce0 cylinderSolidForce1 cylinderSolidForce2 cylinderSolidVelocity0 cylinderSolidVelocity1 cylinderSolidVelocity2 vtkGhostLevels vtkValidPointMask arc_length Points0 Points1 Points2
7.95628e-02 2.93836e-01 -3.02732e-05 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -3.71496e-18 -3.71496e-18 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -7.42993e-15 -7.42993e-15 0.00000e+00 1.00000e-05 1.00000e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.93836e-01 -3.02730e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0 1 2.18000e-02 3.18000e-02 2.00000e-01 0.00000e+00
7.97713e-02 2.92951e-01 -3.33322e-05 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -6.04741e-18 -6.04741e-18 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -1.20948e-14 -1.20948e-14 0.00000e+00 1.00000e-05 1.00000e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.92951e-01 -3.33310e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0 1 2.39800e-02 3.39800e-02 2.00000e-01 0.00000e+00
7.99996e-02 2.92017e-01 -3.64069e-05 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -1.05810e-17 -1.05810e-17 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -2.11619e-14 -2.11619e-14 0.00000e+00 1.00000e-05 1.00000e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.92017e-01 -3.64093e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0 1 2.61600e-02 3.61600e-02 2.00000e-01 0.00000e+00
8.02380e-02 2.91017e-01 -3.70223e-05 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -1.71602e-17 -1.71602e-17 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -3.43205e-14 -3.43205e-14 0.00000e+00 1.00000e-05 1.00000e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.91017e-01 -3.70254e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0 1 2.83400e-02 3.83400e-02 2.00000e-01 0.00000e+00
8.04943e-02 2.89944e-01 -3.87615e-05 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -2.74110e-17 -2.74110e-17 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -5.48220e-14 -5.48220e-14 0.00000e+00 1.00000e-05 1.00000e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.89944e-01 -3.87659e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0 1 3.05200e-02 4.05200e-02 2.00000e-01 0.00000e+00
8.07736e-02 2.88802e-01 -5.01589e-05 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -4.39679e-17 -4.39679e-17 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -8.79358e-14 -8.79358e-14 0.00000e+00 1.00000e-05 1.00000e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.88802e-01 -5.01626e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0 1 3.27000e-02 4.27000e-02 2.00000e-01 0.00000e+00
8.10676e-02 2.87587e-01 -6.62229e-05 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -6.90426e-17 -6.90426e-17 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -1.38085e-13 -1.38085e-13 0.00000e+00 1.00000e-05 1.00000e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.87587e-01 -6.62235e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0 1 3.48800e-02 4.48800e-02 2.00000e-01 0.00000e+00
8.13856e-02 2.86299e-01 -7.62553e-05 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -1.06475e-16 -1.06475e-16 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -2.12950e-13 -2.12950e-13 0.00000e+00 1.00000e-05 1.00000e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.86299e-01 -7.62548e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0 1 3.70600e-02 4.70600e-02 2.00000e-01 0.00000e+00
8.17081e-02 2.84930e-01 -7.81404e-05 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -1.64332e-16 -1.64332e-16 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -3.28663e-13 -3.28663e-13 0.00000e+00 1.00000e-05 1.00000e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.84930e-01 -7.81395e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0 1 3.92400e-02 4.92400e-02 2.00000e-01 0.00000e+00
8.20747e-02 2.83465e-01 -8.96087e-05 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -2.91095e-16 -2.91095e-16 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -5.82191e-13 -5.82191e-13 0.00000e+00 1.00000e-05 1.00000e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.83465e-01 -8.96074e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0 1 4.14200e-02 5.14200e-02 2.00000e-01 0.00000e+00
